RUC;RAZON_SOCIAL;TERCEROS;COD_CIIU;ZONA;PAIS;SEGMENTO;RUBRO
7747936;OWL CORPORATION S.A.C.;INTELIBPO;3933;LIMA;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES DE CONSULTOR?A DE GESTI?N
6103904;LILIANA ERIKA VASQUEZ MONTOYA Y ASOCIADOS SOCIEDAD CIVIL DE;INTELIBPO;8116;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
5133162;AVIPEC NEVADO E.I.R.L;INTELIBPO;6491;LAMBAYEQUE;PERU;ACTIVIDADES PROFESIONALES CIENT?FICAS Y T?CNICAS;ACTIVIDADES VETERINARIAS
9157122;CYA USA COATINGS SAC;INTELIBPO;5482;AREQUIPA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO
7515790;JO  Y  RO CONSULTORIO MEDICO OCHOA S.A.C.;INTELIBPO;3474;LA LIBERTAD;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
5386659;NOVOMEDICA S.A.C.;INTELIBPO;3107;ICA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE PRODUCTOS FARMAC?UTICOS Y MEDICINALES COSM?TICOS Y ART?CULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS
7286210;DESARROLLO DE INGENIERIA Y CONSTRUCCION CONTRATISTAS GENERALES SAC-DEINCO CONTRATISTAS GENERALES SAC;INTELIBPO;6348;LIMA;PERU;CONSTRUCCI?N;CONSTRUCCI?N DE EDIFICIOS
6437474;DONGO ROSAS ROSALYN LISBETH;INTELIBPO;8203;AREQUIPA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS
9577280;GRUPO CONEXIS OUTSORCING S.A.C.;INTELIBPO;4077;AREQUIPA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MENOR DE COMBUSTIBLES PARA VEH?CULOS AUTOMOTORES EN COMERCIOS ESPECIALIZADOS
5884364;BUSINESS MASTER LOZAMORA S.A.C.;INTELIBPO;8843;LIMA;PERU;INFORMACI?N Y COMUNICACIONES;OTRAS ACTIVIDADES DE TELECOMUNICACI?N
7255593;LONNI INVERSIONES S.A.C.;INTELIBPO;2555;LIMA;PERU;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE DE CARGA POR CARRETERA
7099127;INVERSIONES Y ASOCIACIONES HUANCHAQUITO S.A.C.;INTELIBPO;4082;LA LIBERTAD;PERU;CONSTRUCCI?N;CONSTRUCCI?N DE EDIFICIOS
7480823;O  Y  M MINING SERVICES SOCIEDAD ANONIMA CERRADA;INTELIBPO;3805;LIMA;PERU;EXPLOTACI?N DE MINAS Y CANTERAS;EXPLOTACI?N DE OTRAS MINAS Y CANTERAS NCP
4061744;GUEVARA LOZANO NILZON;INTELIBPO;8859;LA LIBERTAD;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE PRENDAS DE VESTIR EXCEPTO PRENDAS DE PIEL
3642649;M  Y  S HIDROCARBUROS S.A.C.;INTELIBPO;3416;AREQUIPA;PERU;COMERCIO AL POR MAYOR Y AL POR MENOR REPARACI?N DE VEH?CULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE COMBUSTIBLES S?LIDOS L?QUIDOS Y GASEOSOS Y  PRODUCTOS CONEXOS
9619368;RENZO DAVID ZALDIVAR ARIAS;INTELIBPO;3888;LIMA;PERU;ACTIVIDADES DE ATENCI?N DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS
4382153;ELEVADORES PERUANOS SAC;INTELIBPO;9068;LIMA;PERU;INDUSTRIAS MANUFACTURERAS;FABRICACI?N DE EQUIPO DE ELEVACI?N Y MANIPULACI?N
9253625;PORTUGAL FARFAN VICENTE ROMULO;INTELIBPO;7799;AREQUIPA;PERU;TRANSPORTE Y ALMACENAMIENTO;ACTIVIDADES DE SERVICIOS VINCULADAS AL TRANSPORTE TERRESTRE
