RUC;RAZON SOCIAL;NAME_SOUND;sadsad
2660001;ENERGÍAS RENOVABLES & IMPORTADORES DEL PERÚ;ENERGIAS_RENOVABLES_&_IMPORTADORES_DEL_PERU;43
8313385;INGENIERIA-OPERACIONES CONSTRUCCION INOPCON;INGENIERIA-OPERACIONES_Y_CONSTRUCCION_-_INOPCON;43
5995915;INGENIEROS Y TECNICOS MAESTROS EN PROYECTOS;INGENIEROS_Y_TECNICOS_MAESTROS_EN_PROYECTOS;43
7478168;INVERSIONES & TECNOLOGÍA PARA EL DESARROLLO;INVERSIONES_Y_TECNOLOGIA_PARA_EL_DESARROLLO;43
8280983;MUNICIPALIDADCIPALIDAD DISTRITAL LA MATANZA;MUNICIPALIDAD_DISTRITAL_LA_MATANZA;43
1034370;ORMACHEA VASQUEZ TECNOLOGIA Y MANTENIMIENTO;ORMACHEA_VASQUEZ_TECNOLOGIA_Y_MANTENIMIENTO;43
5815792;SERVICIOS INTEGRALES DE MANTENIMIENTO MAFBA;SERVICIOS_INTEGRALES_DE_MANTENIMIENTO_MAFBA;43
2257175;SOCIEDAD EDUCATIVA INGENIERIA SAN SILVESTRE;SOCIEDAD_EDUCATIVA_INGENIERIA_SAN_SILVESTRE;43
4003346;SOLMAJ CONSTRUCCIONES Y SERVICIOS GENERALES;SOLMAJ_CONSTRUCCIONES_Y_SERVICIOS_GENERALES;43
7085836;ACEROS INOXIDABLES — FABRICACIÓN Y MONTAJE;FABRICACION_Y_MONTAJES_EN_ACEROS_INOXIDABLES;42
3203108;BMN COMUNICACION INTEGRAL SOCIEDAD ANONIMA;BE_EME_ENE_COMUNICACION_SOCIEDAD_ANONIMA;42
9845124;DIBASERV KONSULTORIA I SERVISIOS JENERALES;DIBASERV_CONSULTORIA_Y_SERVICIOS_JENERALES;42
7281357;ESPECIALIDADES MÉDICAS VIRGEN DE GUADALUPE;CENTRO_DE_ESPECIALIDADES_MEDICAS_VIRGEN_DE_GUADALUPE;42
9159571;INSTITUCION EDUCATIVA PRIVADA TERCER CIELO;INSTITUCION_EDUCATIVA_PRIVADA_TERCER_CIELO;42
8770338;INVERSIONES ALBEMIL CONTRATISTAS GENERALES;INVERSIONES_ALBEMIL_CONTRATISTAS_GENERALES;42
2448656;JARA INGENIERIA Y PROYECTOS ESPECIALIZADOS;JARA_INGENIERIA_Y_PROYECTOS_ESPECIALIZADOS;42
8122768;MUNICIPALIDADCIPALIDAD DISTRITAL DE PUCALA;MUNICIPALIDAD_DISTRITAL_DE_PUCALA;42
2724161;MUNICIPALIDADCIPALIDAD PROVINCIAL DE CANTA;MUNICIPALIDAD_PROVINCIAL_DE_CANTA;42
5970687;SERVICIOS MULTIPLES SAGITARIO Y DESARROLLO;SERVICIOS_MULTIPLES_SAGITARIO_Y_DESARROLLO;42
5793525;ASOSIASION DE LA IGLÉSIA DE DIOS DEL PERU;ASOCIACION_DE_LA_IGLESIA_DE_DIOS_DEL_PERU;41
1184209;ESCUELA DE CONDUCTORES INTEGRALES METEORO;ESCUELA_DE_CONDUCTORES_INTEGRALES_METEORO;41
9468297;ESPECIALIDADES MEDICAS DEL NORTE DEL PERU;ESPECIALIDADES_MEDICAS_DEL_NORTE_DEL_PERU;41
6629071;ESTUDIO DE ASESORIA & GESTION EMPRESARIAL;ESTUDIO_DE_ASESORIA_I_JESTION_EMPRESARIAL;41
6575649;ESTUDIOS ABASTECIMIENTOS Y CONSTRUCCIONES;ESTUDIOS_ABASTECIMIENTOS_Y_CONSTRUCCIONES;41
6468520;INVERSIONES & REPRESENTACIONES MILAGRITOS;INVERSIONES_I_REPRESENTASIONES_MILAGRITOS;41
3984973;INVERSIONES POLICAR DOMÍNGUEZ & ASOCIADOS;INVERSIONES_POLICAR_DOMINGUEZ_&_ASOCIADOS;41
6865739;MUNICIPALIDADCIPALIDAD DISTRITAL DE CHUPA;MUNISIPALIDAD_DISTRITAL_DE_CHUPA;41
7160865;RIPALDA DIAZ DE NAVARRO PATRICIA GRACIELA;PATRICIA_RIPALDA;41
9580228;ANGEL HUGO PAULLO RODRIGUEZ CONTRATISTAS;ANGEL_HUGO_PAULLO_RODRIGUEZ_CONTRATISTAS;40
3986220;CONTRATISTAS GENERALES GRUPO JATUN HUASI;CONTRATISTAS_GENERALES_GRUPO_JATUN_HUASI;40
5891121;CONTRATISTAS Y SERVICIOS D Y F DEL NORTE;KONTRATISTAS_I_SERVISIOS_JENERALES_DE_I_EFE_DEL_NORTE;40
